,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
384,suna,100,RU,1608819594,94,57.83,50.06,6.75,7.74
385,doha,0,QA,1608819594,64,25.29,51.53,77.0,9.17
386,acapulco,5,MX,1608819594,88,16.86,-99.89,73.4,3.36
387,brae,75,GB,1608819594,74,60.4,-1.35,35.6,16.11
388,sibiti,75,CG,1608819594,73,-3.68,13.35,81.68,4.59
389,mayskiy,0,RU,1608819595,67,47.69,40.1,17.6,11.18
390,hobyo,0,SO,1608819595,67,5.35,48.53,79.18,20.89
391,iqaluit,75,CA,1608819595,70,63.75,-68.51,-0.4,5.82
392,porto nacional,0,PT,1608819584,58,41.15,-8.61,54.0,10.29
393,auray,40,FR,1608819595,61,47.67,-2.99,48.99,14.99
394,naze,90,JP,1608819595,77,28.37,129.48,68.0,19.46
395,faya,40,SA,1608819595,60,18.39,42.45,68.0,6.93
396,kysyl-syr,92,RU,1608819595,79,63.9,122.76,-42.52,2.82
397,diapaga,12,BF,1608819595,10,12.07,1.79,96.15,8.05
398,labuan,20,MY,1608819305,83,5.28,115.24,82.4,5.82
399,ayorou,0,NE,1608819595,11,14.73,0.92,92.53,14.18
400,caconda,77,AO,1608819595,42,-13.73,15.07,81.61,1.61
401,ahipara,88,NZ,1608819595,77,-35.17,173.17,60.69,11.59
402,shemursha,86,RU,1608819595,94,54.89,47.52,6.33,6.62
403,holt,90,US,1608819596,67,42.64,-84.52,23.0,9.17
404,evensk,6,RU,1608819596,70,61.95,159.23,-31.27,6.93
405,lompoc,1,US,1608819449,86,34.64,-120.46,48.2,3.24
406,puri,5,IN,1608819596,77,19.8,85.85,69.8,8.05
407,tonantins,100,BR,1608819564,97,-2.87,-67.8,75.24,2.33
408,liwale,61,TZ,1608819596,46,-9.77,37.93,89.64,4.97
409,nioro,100,GM,1608819596,10,13.35,-15.75,98.24,3.31
410,sao gabriel da cachoeira,95,IN,1608819596,31,20.51,76.21,67.23,6.44
411,hofn,100,IS,1608819596,85,64.25,-15.21,39.29,12.15
412,bremerton,11,US,1608819457,99,47.57,-122.63,35.01,1.77
413,ossora,34,RU,1608819596,79,59.24,163.07,-16.69,5.03
414,digkilaan,61,PH,1608819596,87,8.25,124.32,79.0,3.0
415,nemuro,86,JP,1608819596,77,43.32,145.57,38.35,10.49
416,mildura,0,AU,1608819597,28,-34.2,142.15,69.8,8.05
417,kulhudhuffushi,63,MV,1608819597,81,6.62,73.07,81.66,10.16
418,inyonga,58,TZ,1608819597,65,-6.72,32.07,79.39,4.05
419,tazovskiy,25,RU,1608819597,81,67.47,78.7,-39.98,4.61
420,marsa matruh,20,MT,1608819597,72,35.88,14.5,64.4,10.29
421,baoqing,9,CN,1608819597,89,46.33,132.21,-0.94,6.4
422,padang,86,ID,1608819353,69,-0.95,100.35,79.45,1.81
423,brenham,1,US,1608819597,51,30.17,-96.4,36.0,16.11
424,olafsvik,100,IS,1608819597,93,64.89,-23.71,44.01,32.23
425,serebryansk,90,KZ,1608819597,67,49.69,83.29,21.2,2.24
426,birao,59,CF,1608819597,14,10.28,22.79,99.1,6.2
427,vila,20,PT,1608819597,79,42.03,-8.16,45.0,13.0
428,naujoji akmene,100,LT,1608819598,99,55.13,26.21,34.07,11.12
429,outjo,61,NA,1608819598,27,-20.12,16.15,91.4,9.17
430,san borja,24,ML,1608819593,11,13.3,-4.9,94.24,7.0
431,khuzhir,100,RU,1608819598,90,53.19,107.34,9.28,3.74
432,enshi,99,CN,1608819598,71,30.3,109.48,49.24,1.5
433,banepa,20,NP,1608819598,66,27.63,85.52,51.8,2.24
434,sapucaia,20,BR,1608819598,54,-29.83,-51.15,89.01,9.17
435,uthal,0,PK,1608819598,25,25.81,66.62,66.15,3.71
436,robertson,90,US,1608819598,68,36.52,-86.87,33.01,11.41
437,tambovka,20,RU,1608819598,76,50.1,128.05,-5.8,4.47
438,deputatskiy,100,RU,1608819598,86,69.3,139.9,-21.95,7.0
439,shache,100,CN,1608819598,88,38.42,77.24,22.96,3.74
440,dudinka,40,RU,1608819598,72,69.41,86.18,-38.2,11.18
441,kailua,1,US,1608819598,78,21.4,-157.74,71.6,6.93
442,seymchan,100,RU,1608819598,81,62.88,152.43,-34.92,1.48
443,kokoda,100,PG,1608819599,72,-8.88,147.74,74.98,0.45
444,borzya,23,RU,1608819599,79,50.38,116.52,-5.69,4.97
445,kirakira,93,SB,1608819599,78,-10.45,161.92,80.17,5.21
446,bafq,49,IR,1608819599,38,31.61,55.41,59.07,12.68
447,dasoguz,90,TM,1608819599,74,41.84,59.97,30.2,13.87
448,srednekolymsk,100,RU,1608819599,89,67.45,153.68,-13.81,10.58
449,gouyave,40,GD,1608819599,74,12.16,-61.73,84.2,11.41
450,riyadh,0,SA,1608819406,35,24.69,46.72,71.6,6.93
451,sarkand,94,KZ,1608819599,76,45.41,79.92,17.42,3.33
452,geraldton,0,AU,1608819599,50,-28.77,114.6,77.0,6.93
453,hualmay,69,PE,1608819599,76,-11.1,-77.61,69.75,6.42
454,motygino,100,RU,1608819599,87,58.18,94.76,-17.84,8.77
455,nizhneudinsk,100,RU,1608819599,93,54.91,99.03,8.08,1.86
456,tiznit,0,MA,1608819599,27,29.58,-9.5,65.91,8.08
457,bairiki,40,KI,1608819599,78,1.33,172.98,80.6,12.75
458,fukue,100,JP,1608819599,59,32.69,128.84,51.8,25.7
459,hovd,2,MN,1608819599,85,48.01,91.64,6.48,0.51
460,mys shmidta,100,RU,1608819600,93,62.06,48.62,6.01,8.05
461,orel-izumrud,40,RU,1608819600,70,43.46,39.92,42.8,11.18
462,tromso,40,NO,1608819416,90,69.65,18.96,32.0,19.46
463,tomatlan,0,MX,1608819600,32,19.93,-105.25,62.58,2.73
464,kiunga,99,PG,1608819600,98,-6.12,141.29,72.05,1.72
465,sidi ali,66,CF,1608819600,20,5.08,19.88,97.95,5.57
466,marang,40,MY,1608819554,83,5.21,103.21,82.4,4.7
467,aykhal,0,RU,1608819600,57,66.0,111.5,-45.4,8.95
468,karratha,0,AU,1608819600,59,-20.74,116.85,85.1,12.53
469,semme,100,FR,1608819600,100,46.2,1.5,45.0,5.82
470,poum,3,NC,1608819600,77,-20.23,164.02,80.28,8.66
471,neftegorsk,87,RU,1608819601,91,52.8,51.17,1.89,2.98
472,egvekinot,100,RU,1608819601,92,66.32,-179.17,-12.24,2.73
473,sabang,75,ID,1608819601,81,5.89,95.32,80.65,12.95
474,aksarka,22,RU,1608819601,81,66.56,67.8,-38.96,6.13
475,nelson,4,NZ,1608819601,56,-41.28,173.28,57.0,1.01
476,naranjito,90,EC,1608819602,73,-2.22,-79.48,78.01,3.36
477,plaridel,20,PH,1608819602,78,14.89,120.86,82.4,5.82
478,yar-sale,62,RU,1608819603,82,66.83,70.83,-34.67,7.16
479,eskisehir,75,TR,1608819570,62,39.78,30.52,39.2,9.17
480,calabozo,18,VE,1608819603,57,8.92,-67.43,83.68,8.75
481,angouleme,100,FR,1608819603,93,45.65,0.15,48.2,9.17
482,sol-iletsk,73,RU,1608819603,94,51.16,54.99,5.4,4.76
483,buta,61,CD,1608819604,32,2.79,24.73,94.78,2.15
484,stettler,0,CA,1608819604,80,52.32,-112.72,35.6,11.41
485,ahuimanu,1,US,1608819604,78,21.44,-157.84,71.6,6.93
486,porbandar,0,IN,1608819604,31,21.64,69.61,73.38,11.14
487,vao,62,NC,1608819604,70,-22.67,167.48,76.14,6.11
488,santiago,0,CL,1608819387,46,-33.46,-70.65,75.2,3.36
489,ust-karsk,88,RU,1608819604,88,52.7,118.81,-6.59,0.63
490,hervey bay,1,US,1608819604,82,33.5,-93.78,32.0,12.75
491,necochea,0,AR,1608819604,30,-38.55,-58.74,93.0,14.99
492,kaeo,50,NZ,1608819604,81,-35.1,173.78,57.99,3.0
493,meadow lake,75,US,1608819604,73,45.53,-102.22,21.2,9.17
494,nome,90,US,1608819604,79,64.5,-165.41,26.6,10.29
495,dongsheng,0,CN,1608819604,78,39.82,109.98,14.63,13.78
496,richards bay,90,US,1608819605,75,46.84,-95.91,-13.0,12.75
497,port hardy,5,CD,1608819569,67,-7.03,29.76,79.34,3.33
498,juneau,90,US,1608819530,93,58.3,-134.42,35.6,2.3
499,yarmouth,1,US,1608819448,87,41.71,-70.23,50.0,10.29
500,businga,69,CD,1608819605,29,3.33,20.88,95.97,3.44
501,ust-tsilma,48,RU,1608819605,84,65.44,52.15,-24.07,5.7
502,maniitsoq,100,GL,1608819605,98,65.42,-52.9,25.99,36.82
503,motzorongo,1,MX,1608819605,72,18.63,-96.73,66.76,2.62
504,namatanai,100,PG,1608819605,79,-3.67,152.43,81.28,5.61
505,fort nelson,93,NL,1608819605,87,52.65,6.39,43.0,1.01
506,pandan niog,22,PH,1608819605,84,14.05,124.17,79.88,8.12
507,port blair,5,CD,1608819575,67,-7.03,29.76,79.34,3.33
508,jacksonville,40,US,1608819320,93,30.33,-81.66,66.0,5.82
509,lazaro cardenas,0,DO,1608819606,83,19.46,-71.33,75.0,8.01
510,atikokan,100,CA,1608819606,88,48.76,-91.62,-6.83,13.56
511,wanning,63,CN,1608819606,82,18.8,110.4,67.82,9.4
512,vardo,100,NO,1608819606,96,70.37,31.11,28.53,29.48
513,namikupa,35,TZ,1608819606,55,-10.83,39.6,87.89,5.95
514,montenegro,90,ME,1608819606,87,42.5,19.3,50.0,1.32
515,bilma,100,NE,1608819606,19,18.69,12.92,77.22,16.8
516,maraa,100,BR,1608819606,97,-1.83,-65.37,75.09,3.91
517,ouesso,62,CG,1608819606,32,1.61,16.05,94.51,0.63
518,sai buri,20,FR,1608819607,65,48.74,0.03,44.6,16.11
519,aasiaat,100,GL,1608819607,97,68.71,-52.87,22.77,4.54
520,baie-comeau,90,CA,1608819607,74,49.22,-68.15,28.4,9.17
521,mendeleyevsk,90,RU,1608819607,92,55.91,52.29,19.4,4.47
522,yerbogachen,18,RU,1608819607,82,61.28,108.01,-36.17,2.8
523,praia,75,CV,1608819607,54,14.92,-23.51,78.8,13.87
524,vostok,97,RU,1608819607,95,46.49,135.88,-2.96,3.56
525,santa cruz de la palma,63,PH,1608819607,88,17.49,120.43,77.16,8.05
526,findhorn,100,GB,1608819394,86,57.66,-3.61,39.99,13.87
527,urubicha,95,BO,1608819607,45,-15.38,-62.95,90.48,2.44
528,dubovskoye,78,RU,1608819607,95,47.41,42.76,13.87,7.11
529,sinnamary,100,GF,1608819608,92,5.38,-52.95,74.16,6.58
530,hamilton,90,US,1608819608,88,39.18,-84.53,33.01,9.17
531,dhidhdhoo,52,MV,1608819608,81,6.88,73.1,81.86,10.29
532,bonavista,5,CA,1608819608,73,48.65,-53.11,24.8,4.7
